,Microphone
1756,-3828
1757,-5844
1758,-9452
1759,-13116
1760,-15876
1761,-17716
1762,-18804
1763,-20260
1764,-22188
1765,-22260
1766,-21588
1767,-20580
1768,-18444
1769,-16628
1770,-15868
1771,-14892
1772,-13612
1773,-13644
1774,-14004
1775,-14412
1776,-15588
1777,-16764
1778,-17764
1779,-17076
1780,-15500
1781,-13636
1782,-10564
1783,-7684
1784,-7060
1785,-7836
1786,-9924
1787,-12404
1788,-14900
1789,-17420
1790,-18676
1791,-20300
1792,-21028
1793,-20852
1794,-20140
1795,-18716
1796,-17036
1797,-15324
1798,-12908
1799,-11332
1800,-10340
1801,-10164
1802,-10308
1803,-11772
1804,-13356
1805,-16164
1806,-19484
1807,-21324
1808,-21548
1809,-20684
1810,-18796
1811,-15844
1812,-13412
1813,-11340
1814,-10068
1815,-9892
1816,-11796
1817,-13668
1818,-15308
1819,-16788
1820,-17324
1821,-17860
1822,-18700
1823,-19084
1824,-18380
1825,-16748
1826,-14860
1827,-12500
1828,-11556
1829,-10556
1830,-10532
1831,-11004
1832,-11772
1833,-12908
1834,-14716
1835,-16844
1836,-19468
1837,-20492
1838,-20652
1839,-18628
1840,-16444
1841,-14212
1842,-12044
1843,-10684
1844,-9980
1845,-11060
1846,-13076
1847,-14964
1848,-16772
1849,-17844
1850,-18924
1851,-20132
1852,-20276
1853,-20580
1854,-19876
1855,-18908
1856,-16612
1857,-14844
1858,-13036
1859,-11580
1860,-11412
1861,-11604
1862,-12580
1863,-13476
1864,-14908
1865,-16804
1866,-17964
1867,-17964
1868,-16892
1869,-14748
1870,-12580
1871,-11196
1872,-10140
1873,-9644
1874,-10444
1875,-11860
1876,-14356
1877,-16404
1878,-18380
1879,-19532
1880,-20404
1881,-20748
1882,-20820
1883,-20276
1884,-18452
1885,-16300
1886,-14332
1887,-12956
1888,-11980
1889,-11020
1890,-11116
1891,-11788
1892,-12604
1893,-14516
1894,-16068
1895,-17556
1896,-18380
1897,-17508
1898,-15500
1899,-13636
1900,-11524
1901,-10036
1902,-9220
1903,-9716
1904,-11556
1905,-13508
1906,-16220
1907,-18548
1908,-19748
1909,-20732
1910,-21468
1911,-21924
1912,-22028
1913,-21012
1914,-18892
1915,-16036
1916,-14060
1917,-12220
1918,-10988
1919,-10028
1920,-9892
1921,-10844
1922,-12340
1923,-14428
1924,-16428
1925,-17636
1926,-17260
1927,-16204
1928,-14516
1929,-12140
1930,-10716
1931,-10036
1932,-10028
1933,-10204
1934,-11332
1935,-13668
1936,-16004
1937,-18396
1938,-19700
1939,-20236
1940,-20804
1941,-20796
1942,-20260
1943,-19412
1944,-17492
1945,-15828
1946,-14780
1947,-13060
1948,-12492
1949,-12348
1950,-12540
1951,-13036
1952,-14796
1953,-16660
1954,-18396
1955,-19188
1956,-18524
1957,-16516
1958,-14012
1959,-11524
1960,-9724
1961,-8996
1962,-9124
1963,-9996
1964,-11548
1965,-13780
1966,-15540
1967,-16444
1968,-17404
1969,-18692
1970,-19540
1971,-19884
1972,-19572
1973,-18084
1974,-16132
1975,-14276
1976,-12596
1977,-11644
1978,-11892
1979,-12468
1980,-13076
1981,-13996
1982,-15612
1983,-16708
1984,-17956
1985,-18620
1986,-17740
1987,-15924
1988,-13132
1989,-11324
1990,-10612
1991,-10684
1992,-10564
1993,-11484
1994,-12876
1995,-14276
1996,-16292
1997,-17892
1998,-18932
1999,-19820
2000,-20004
2001,-20060
2002,-18596
2003,-17140
2004,-16156
2005,-14812
2006,-13596
2007,-13620
2008,-12852
2009,-12644
2010,-13484
2011,-14996
2012,-16332
2013,-17836
2014,-18156
2015,-17724
2016,-17244
2017,-15276
2018,-13332
2019,-11596
2020,-11116
2021,-11332
2022,-12068
2023,-12892
2024,-14228
2025,-16428
2026,-17628
2027,-19108
2028,-19284
2029,-19340
2030,-18748
2031,-18428
2032,-17180
2033,-15748
2034,-14348
2035,-12812
2036,-11716
2037,-10980
2038,-10916
2039,-11284
2040,-12660
2041,-13244
2042,-14972
2043,-16572
2044,-17092
2045,-16244
2046,-15100
2047,-13228
2048,-11788
2049,-10668
2050,-10108
2051,-10572
2052,-12044
2053,-13764
2054,-15236
2055,-16404
2056,-17164
2057,-17700
2058,-18284
2059,-18764
2060,-17940
2061,-17252
2062,-15124
2063,-13372
2064,-11356
2065,-10980
2066,-11164
2067,-10956
2068,-11460
2069,-11844
2070,-12516
2071,-13948
2072,-15100
2073,-15844
2074,-15116
2075,-14308
2076,-12564
2077,-10692
2078,-9764
2079,-8844
2080,-8932
2081,-10532
2082,-12292
2083,-13772
2084,-15348
2085,-16956
2086,-17964
2087,-18852
2088,-19100
2089,-18676
2090,-18652
2091,-17652
2092,-15484
2093,-13588
2094,-12300
2095,-11748
2096,-11460
2097,-11292
2098,-11284
2099,-12140
2100,-13364
2101,-14092
2102,-14940
2103,-15468
2104,-14684
2105,-12876
2106,-10884
2107,-9572
2108,-9396
2109,-9684
2110,-10468
2111,-11580
2112,-13292
2113,-14692
2114,-16796
2115,-17844
2116,-18908
2117,-19820
2118,-20036
2119,-19380
2120,-18436
2121,-16900
2122,-15500
2123,-13308
2124,-12228
2125,-12444
2126,-12740
2127,-13532
2128,-13452
2129,-13884
2130,-14548
2131,-15460
2132,-16068
2133,-15956
2134,-15060
2135,-13428
2136,-11764
2137,-10236
